
FC Bayern München;Allianz Arena;48.218799;11.624707
Borussia Dortmund;Signal Iduna Park;51.492569;7.451842
RB Leipzig;Red Bull Arena;51.345180;12.348202
1. FC Union Berlin;Stadion An der Alten Försterei;52.463292;13.568284
SC Freiburg;Schwarzwald-Stadion;47.995351;7.791694
Bayer 04 Leverkusen;BayArena;51.038567;7.002417
Eintracht Frankfurt;Deutsche Bank Park;50.068580;8.645472
VfL Wolfsburg;Volkswagen Arena;5.243310;1.080385
1. FSV Mainz 05;Opel Arena;49.984186;8.224210
Borussia Mönchengladbach;BORUSSIA-PARK;51.174705;6.385204
1. FC Köln;RheinEnergieSTADION;50.933300;6.875280
TSG Hoffenheim;PreZero Arena;49.235395;8.888694
Werder Bremen;WOHNINVEST WESERSTADION;53.066267;8.837267
VfL Bochum;Vonovia Ruhrstadion;51.484391;7.216236
FC Augsburg;WWK ARENA;48.322125;10.891255
VfB Stuttgart;Mercedes-Benz Arena;48.792269;9.232031
1. FC Heidenheim;Voith-Arena;48.689352;10.151282
SV Darmstadt 98;Merck-Stadion am Böllenfalltor;49.872825;8.650207
