ID,Stadt_x,Stadt_y
1,Berlin,Bremen
1,Berlin,Wolfsburg
1,Berlin,Leipzig
2,Bremen,Berlin
2,Bremen,Wolfsburg
2,Bremen,Bochum
2,Bremen,Mönchengladbach
2,Bremen,Dortmund
3,Wolfsburg,Berlin
3,Wolfsburg,Bremen
3,Wolfsburg,Leipzig
3,Wolfsburg,Dortmund
4,Leipzig,Berlin
4,Leipzig,Wolfsburg
4,Leipzig,Dortmund
4,Leipzig,Frankfurt
4,Leipzig,Heidenheim
4,Leipzig,München
5,Bochum,Bremen
5,Bochum,Mönchengladbach
5,Bochum,Leverkusen
5,Bochum,Dortmund
5,Bochum,Köln
6,Mönchengladbach,Bremen
6,Mönchengladbach,Bochum
6,Mönchengladbach,Leverkusen
6,Mönchengladbach,Dortmund
6,Mönchengladbach,Köln
7,Leverkusen,Bochum
7,Leverkusen,Mönchengladbach
7,Leverkusen,Dortmund
7,Leverkusen,Köln
7,Leverkusen,Frankfurt
8,Dortmund,Bremen
8,Dortmund,Wolfsburg
8,Dortmund,Leipzig
8,Dortmund,Bochum
8,Dortmund,Mönchengladbach
8,Dortmund,Leverkusen
9,Köln,Bochum
9,Köln,Mönchengladbach
9,Köln,Leverkusen
9,Köln,Frankfurt
9,Köln,Mainz
10,Frankfurt,Leipzig
10,Frankfurt,Leverkusen
10,Frankfurt,Dortmund
10,Frankfurt,Köln
10,Frankfurt,Mainz
10,Frankfurt,Darmstadt
11,Mainz,Köln
11,Mainz,Frankfurt
11,Mainz,Darmstadt
12,Darmstadt,Frankfurt
12,Darmstadt,Mainz
12,Darmstadt,Sinsheim
12,Darmstadt,Freiburg
12,Darmstadt,München
13,Sinsheim,Darmstadt
13,Sinsheim,Stuttgart
13,Sinsheim,Freiburg
13,Sinsheim,Heidenheim
14,Stuttgart,Sinsheim
14,Stuttgart,Freiburg
14,Stuttgart,Heidenheim
15,Freiburg,Darmstadt
15,Freiburg,Sinsheim
15,Freiburg,Stuttgart
15,Freiburg,Augsburg
16,Heidenheim,Leipzig
16,Heidenheim,Sinsheim
16,Heidenheim,Stuttgart
16,Heidenheim,Augsburg
17,Augsburg,Freiburg
17,Augsburg,Heidenheim
17,Augsburg,München
18,München,Leipzig
18,München,Darmstadt
18,München,Augsburg
